Name, Asus S400CA-DH51T 14.1" LED Ultrabook - Intel Core i5 i5-3317U 1.70 G
Price, $817.76
Manufacturer, ASUS Computer International
Manufacturer Part Number, S400CA-DH51T
Manufacturer Website Address, usa.asus.com
Brand Name, Asus
Product Line, VivoBook
Product Series, S400
Product Model, S400CA-DH51T
Product Name, VivoBook S400CA-DH51T Ultrabook
Product Type, Ultrabook
Processor Manufacturer, Intel
Processor Type, Core i5
Processor Model, i5-3317U
Processor Speed, 1.70 GHz
Processor Core, Dual-core (2 Core)
Cache, 3 MB
64-bit Processing, Yes
Standard Memory, 4 GB
Memory Technology, DDR3 SDRAM
Hard Drive Capacity, 500 GB
Solid State Drive Capacity, 24 GB
Screen Size, 14.1"
Display Screen Type, Active Matrix TFT Color LCD
Aspect Ratio, 16
Screen Mode, HD
Backlight Technology, LED
Touchscreen, Yes
Screen Resolution, 1366 x 768
Graphics Controller Manufacturer, Intel
Graphics Controller Model, HD 4000
Graphics Memory Accessibility, Shared
Wi-Fi, Yes
Wi-Fi Standard, IEEE 802.11b/g/n
Webcam, Yes
HDMI, Yes
Total Number of USB Ports, 3
Operating System, Genuine Windows 8
Operating System Architecture, 64-bit
Number of Cells, 3-cell
Battery Chemistry, Lithium Ion (Li-Ion)
Color, Black
Height, 0.8"
Width, 13.3"
Depth, 9.4"
Weight (Approximate), 4.40 lb
Package Contents, VivoBook S400CA-DH51T UltrabookLithium Ion BatteryAC Adapter
VivoBook S400CA-DH51T Ultrabook, 
Lithium Ion Battery, 
AC Adapter, 
Green Compliant, Yes
Green Compliance Certificate/Authority, RoHS